TIME (year.decimal),Greenland mass (Gigatonnes),Greenland mass 1-sigma uncertainty (Gigatonnes)
2022.79,-5305.57,23.58
2022.87,-5225.66,23.45
2022.96,-5175.05,23.58
2023.04,-5262.75,23.62
2023.12,-5276.2,23.56
2023.2,-5218.05,23.26
2023.29,-5241.94,23.27
2023.37,-5226.74,23.17
2023.45,-5191.5,23.3
2023.54,-5263.46,23.42
2023.62,-5474.05,23.24
2023.71,-5531.02,24.86
2023.79,-5509.64,26.64
2023.87,-5490.34,28.33
2023.96,-5492.3,29.82
2024.04,-5480.27,31.83
2024.12,-5429.81,33.24
2024.21,-5409.33,34.62
2024.29,-5438.71,36.59
2024.37,-5448.3,47.32
2024.46,-5405.0,58.59
2024.54,-5496.94,71.58
2024.62,-5593.36,85.37
